iter	Logloss
0	0.6451456102
1	0.5974009285
2	0.5558847068
3	0.5184178389
4	0.4849363947
5	0.4555649208
6	0.429350767
7	0.4067038507
8	0.3858277276
9	0.3676993505
10	0.3509595173
11	0.3363613141
12	0.3231576301
13	0.3118982801
14	0.3015548324
15	0.2920278895
16	0.2840188766
17	0.2765091956
18	0.2697216309
19	0.263089437
20	0.2568565605
21	0.2509478334
22	0.245640632
23	0.2411964042
24	0.2370579437
25	0.2332351001
26	0.2298350855
27	0.2267494153
28	0.2239385258
29	0.2211294158
30	0.218679861
31	0.2164629229
32	0.2142981676
33	0.2123860625
34	0.2107097975
35	0.2090021726
36	0.2069531325
37	0.2052609792
38	0.203548208
39	0.2020955046
40	0.200775167
41	0.1993512415
42	0.1982312155
43	0.1971472625
44	0.196175191
45	0.1951206005
46	0.1942732433
47	0.1932890185
48	0.1923298704
49	0.1914595934
50	0.1908283081
51	0.1900761872
52	0.1895517574
53	0.1888512333
54	0.1881745046
55	0.1875107518
56	0.1869866249
57	0.1864448236
58	0.1857995097
59	0.1853667765
60	0.1848104233
61	0.184374051
62	0.1839947732
63	0.1835979733
64	0.1831769251
65	0.1827323241
66	0.1824597314
67	0.1821336125
68	0.181817683
69	0.1815052477
70	0.1811647152
71	0.1808380875
72	0.1804739979
73	0.1802172242
74	0.1799662218
75	0.1796904226
76	0.1793990451
77	0.179182453
78	0.1789307207
79	0.1786567747
80	0.1783964847
81	0.1781422628
82	0.177885238
83	0.1777167905
84	0.1775510073
85	0.1773933618
86	0.1771880506
87	0.177021633
88	0.1767880657
89	0.1766184765
90	0.1764438074
91	0.1762052186
92	0.1759775378
93	0.1758516435
94	0.1755840942
95	0.1752530408
96	0.1751443189
97	0.1748635889
98	0.1746435565
99	0.1744609373
100	0.1742004133
101	0.1739622876
102	0.1737363519
103	0.1734841806
104	0.1732288204
105	0.1729975833
106	0.1728580248
107	0.1726961625
108	0.1724029204
109	0.172119609
110	0.1720047607
111	0.1718232563
112	0.1716934129
113	0.1715728655
114	0.1713900475
115	0.1713044573
116	0.1711628903
117	0.1710416735
118	0.1709456493
119	0.1708115831
120	0.1707148305
121	0.1706010628
122	0.1704783775
123	0.1703664582
124	0.1702551346
125	0.1701749547
126	0.1700586971
127	0.1698885707
128	0.1697895176
129	0.1696520386
130	0.1695753396
131	0.169491951
132	0.1694110053
133	0.1693452074
134	0.1692155633
135	0.1691118887
136	0.1689116165
137	0.1688010935
138	0.1687357224
139	0.1685864217
140	0.1685011609
141	0.168424813
142	0.1683808361
143	0.1683456673
144	0.1682525167
145	0.1681354281
146	0.168058127
147	0.1679839722
148	0.1679165142
149	0.1678143638
150	0.1676863096
151	0.1676325122
152	0.1675482067
153	0.1674802862
154	0.1673885376
155	0.167245807
156	0.1671637723
157	0.1671013938
158	0.1670486188
159	0.1669951676
160	0.1669113849
161	0.1668131709
162	0.1667374874
163	0.1666247004
164	0.1665770843
165	0.1665279304
166	0.1664517242
167	0.1663829634
168	0.1663079409
169	0.1662367181
170	0.1661077885
171	0.166070758
172	0.1660160218
173	0.1659258721
174	0.1658513106
175	0.1657616374
176	0.1656811142
177	0.1656298045
178	0.165578972
179	0.1655082219
180	0.1654677309
181	0.1653741057
182	0.1653117206
183	0.1652348411
184	0.1651780995
185	0.1650843498
186	0.1649803255
187	0.1649361005
188	0.1648370235
189	0.1647610973
190	0.1647251445
191	0.1646656377
192	0.1646344186
193	0.164599352
194	0.164518615
195	0.1644556311
196	0.1644096844
197	0.1643727072
198	0.1643438679
199	0.1642932392
200	0.1641816875
201	0.1641337348
202	0.1640927079
203	0.16405384
204	0.164000488
205	0.1639456148
206	0.1639162156
207	0.1638079932
208	0.1637518879
209	0.1637143253
210	0.1636708277
211	0.1635856576
212	0.1635404421
213	0.16347055
214	0.1633943572
215	0.1633470876
216	0.1632990532
217	0.1632180414
218	0.1631910369
219	0.1631254474
220	0.1630954139
221	0.1630682837
222	0.1630290938
223	0.1629573695
224	0.1629265405
225	0.1628962871
226	0.1628611444
227	0.1628294843
228	0.162791195
229	0.1626784373
230	0.1626022227
231	0.1625296369
232	0.1624461061
233	0.162427021
234	0.1623892362
235	0.1623638491
236	0.1622870419
237	0.1622433365
238	0.1622101957
239	0.1621429461
240	0.162102366
241	0.1620728088
242	0.1620080556
243	0.1619685633
244	0.1619178841
245	0.1618982486
246	0.161863242
247	0.161808728
248	0.1617842533
249	0.1617420856
250	0.1617023882
251	0.1616574594
252	0.1615993496
253	0.1615601312
254	0.1614776539
255	0.1614127144
256	0.1613817656
257	0.1613095951
258	0.1612866819
259	0.1612534383
260	0.1611892066
261	0.1611352246
262	0.1610979651
263	0.1610506645
264	0.161024011
265	0.1610096781
266	0.160969713
267	0.1609420182
268	0.1608876611
269	0.1608453588
270	0.1608177553
271	0.1607826261
272	0.1607414322
273	0.1607226428
274	0.1606990882
275	0.1606756616
276	0.1606437494
277	0.1606245805
278	0.1606016504
279	0.1605748922
280	0.1605364307
281	0.1605139421
282	0.1604838537
283	0.1604574954
284	0.1604324037
285	0.1603598279
286	0.160336907
287	0.1603090311
288	0.1602510534
289	0.1601836227
290	0.1601171173
291	0.1600622002
292	0.1600360315
293	0.1600204818
294	0.1599854069
295	0.1599556699
296	0.1599386637
297	0.1599095311
298	0.1598841399
299	0.1598559444
300	0.1598427814
301	0.1598278898
302	0.1598081497
303	0.1597842318
304	0.1597395109
305	0.1597223194
306	0.1596976623
307	0.159679535
308	0.159654659
309	0.1596122493
310	0.1595765202
311	0.15952661
312	0.1594650866
313	0.1594504917
314	0.1594271747
315	0.1593855961
316	0.1593513881
317	0.1593037802
318	0.1592853739
319	0.1592708621
320	0.1592437781
321	0.1592321845
322	0.1592121104
323	0.1591856287
324	0.1591667305
325	0.1591533049
326	0.1591092847
327	0.1590816004
328	0.1590461354
329	0.159014975
330	0.1589976004
331	0.1589372271
332	0.1588767164
333	0.1588569634
334	0.1588301325
335	0.1588182972
336	0.158776546
337	0.1587405292
338	0.1587142736
339	0.1586972533
340	0.1586601524
341	0.158617019
342	0.1585888989
343	0.1585667353
344	0.1585064859
345	0.1584932006
346	0.1584535877
347	0.1584250081
348	0.1584050838
349	0.1583419769
350	0.1582866186
351	0.1582686467
352	0.1582285977
353	0.1582088545
354	0.1581750713
355	0.1581356562
356	0.1580960897
357	0.1580770602
358	0.1580422445
359	0.1580044768
360	0.1579873375
361	0.1579660614
362	0.1579466351
363	0.1579186839
364	0.1578853234
365	0.1578580913
366	0.1578360812
367	0.1578055794
368	0.1577803126
369	0.1577453161
370	0.1577038738
371	0.1576743144
372	0.1576503964
373	0.1576206779
374	0.1575961645
375	0.1575672764
376	0.1575402378
377	0.1575001192
378	0.1574601988
379	0.157430827
380	0.1573890584
381	0.1573666529
382	0.1573359249
383	0.1572969492
384	0.1572811708
385	0.1572446843
386	0.1572284809
387	0.1572087315
388	0.1571627569
389	0.1571287764
390	0.1571119791
391	0.1570983842
392	0.157072622
393	0.1570384571
394	0.1570258883
395	0.1569941571
396	0.1569741375
397	0.1569418752
398	0.1569181558
399	0.1569043608
400	0.1568804236
401	0.1568472526
402	0.1568183639
403	0.1567849221
404	0.1567535288
405	0.1567257471
406	0.1566908945
407	0.1566601151
408	0.1566345173
409	0.1566177699
410	0.1565881763
411	0.1565560801
412	0.1565278385
413	0.1565140369
414	0.1564971124
415	0.1564730955
416	0.156453251
417	0.1564377372
418	0.1564074395
419	0.1563800984
420	0.1563588239
421	0.156335577
422	0.1563057819
423	0.156289749
424	0.1562570053
425	0.1562339174
426	0.1562067252
427	0.1561938071
428	0.1561758195
429	0.1561439498
430	0.1561226734
431	0.1560897599
432	0.1560712873
433	0.1560409298
434	0.1560080369
435	0.1559951391
436	0.1559656362
437	0.1559311112
438	0.155916709
439	0.1558931043
440	0.1558654421
441	0.1558541346
442	0.1558252649
443	0.1558065952
444	0.1557895599
445	0.1557643151
446	0.1557470276
447	0.1557289443
448	0.1557009678
449	0.1556775301
450	0.1556504313
451	0.1556284381
452	0.1556094654
453	0.155592649
454	0.1555722359
455	0.1555547619
456	0.1555428607
457	0.1555145905
458	0.1554936565
459	0.1554855576
460	0.1554675174
461	0.1554559015
462	0.1554398852
463	0.1554242867
464	0.155407473
465	0.1553812797
466	0.1553620457
467	0.1553447937
468	0.1553267744
469	0.1552987464
470	0.1552811919
471	0.1552656618
472	0.155246189
473	0.1552294974
474	0.1552164016
475	0.1551859697
476	0.1551766485
477	0.1551526
478	0.1551383306
479	0.1551276428
480	0.155110694
481	0.1550834738
482	0.155059931
483	0.1550371966
484	0.1550294905
485	0.1550196029
486	0.1550094256
487	0.1549935429
488	0.1549766507
489	0.1549648895
490	0.1549392649
491	0.1549267734
492	0.1549109224
493	0.1548874072
494	0.1548736725
495	0.154857814
496	0.1548392372
497	0.1548239582
498	0.1548010887
499	0.1547815304
500	0.1547690244
501	0.1547547417
502	0.1547404928
503	0.1547236718
504	0.1547088241
505	0.1546938763
506	0.1546788521
507	0.1546567803
508	0.1546282363
509	0.1546041303
510	0.1545723354
511	0.1545504207
512	0.1545331504
513	0.1545205488
514	0.1544968231
515	0.1544898691
516	0.1544770725
517	0.1544571714
518	0.1544506023
519	0.1544273923
520	0.1544127876
521	0.1543871381
522	0.1543708789
523	0.1543563857
524	0.154335472
525	0.1543189497
526	0.1542967626
527	0.1542889814
528	0.1542768703
529	0.1542600906
530	0.1542504745
531	0.154240584
532	0.1542288594
533	0.1542217632
534	0.1542106842
535	0.1541894622
536	0.1541779778
537	0.1541457475
538	0.1541331237
539	0.1541191877
540	0.1541011737
541	0.154084945
542	0.154078236
543	0.1540667699
544	0.1540571368
545	0.1540459905
546	0.1540357049
547	0.15402768
548	0.1540218345
549	0.1540105031
550	0.1539808966
551	0.1539587821
552	0.1539486829
553	0.1539225045
554	0.1539025386
555	0.1538840007
556	0.1538683891
557	0.1538515481
558	0.1538377422
559	0.1538261975
560	0.1538197863
561	0.1537987092
562	0.1537873696
563	0.1537696236
564	0.1537613537
565	0.1537561371
566	0.1537514174
567	0.153727363
568	0.1537109356
569	0.1537042971
570	0.1536868309
571	0.1536594336
572	0.1536470163
573	0.1536212911
574	0.1536080452
575	0.153593213
576	0.1535794989
577	0.1535597749
578	0.1535467204
579	0.153524567
580	0.1535082952
581	0.1535011505
582	0.1534918447
583	0.1534850252
584	0.1534732106
585	0.1534664981
586	0.1534547131
587	0.1534384211
588	0.153419606
589	0.1534063742
590	0.1533930638
591	0.1533868723
592	0.1533782808
593	0.1533615671
594	0.1533470532
595	0.1533379299
596	0.153329021
597	0.1533165973
598	0.1533080231
599	0.1533032904
600	0.1532807987
601	0.1532673025
602	0.1532535997
603	0.1532454263
604	0.1532368174
605	0.1532288434
606	0.1532084067
607	0.1531918849
608	0.1531816678
609	0.153173485
610	0.1531657138
611	0.1531575029
612	0.1531489151
613	0.153128962
614	0.153112782
615	0.153105206
616	0.1530941319
617	0.1530829523
618	0.1530688171
619	0.1530501751
620	0.1530369296
621	0.153024591
622	0.1530160293
623	0.1530025761
624	0.1529880713
625	0.1529808604
626	0.1529727934
627	0.1529583914
628	0.1529459895
629	0.1529402722
630	0.1529223461
631	0.1529056077
632	0.1528863316
633	0.152868695
634	0.1528602585
635	0.1528527544
636	0.1528442331
637	0.1528334436
638	0.1528213073
639	0.1528146919
640	0.1528015402
641	0.1527944924
642	0.1527766755
643	0.1527655804
644	0.1527476966
645	0.1527359373
646	0.152721972
647	0.1527058847
648	0.152698577
649	0.152691853
650	0.1526785305
651	0.15267182
652	0.1526689158
653	0.1526545314
654	0.1526382657
655	0.1526277869
656	0.1526200262
657	0.1526004277
658	0.1525932059
659	0.1525783758
660	0.1525617628
661	0.1525462723
662	0.1525353405
663	0.1525285781
664	0.15251467
665	0.1524981547
666	0.1524871165
667	0.1524790875
668	0.1524659909
669	0.1524585799
670	0.1524498797
671	0.1524324358
672	0.1524168638
673	0.1524090894
674	0.1524006026
675	0.1523880144
676	0.15238337
677	0.1523726324
678	0.1523597251
679	0.1523493646
680	0.1523373294
681	0.1523335095
682	0.1523184696
683	0.1523082658
684	0.1523016732
685	0.1523008615
686	0.1522935224
687	0.1522926104
688	0.1522748155
689	0.152267258
690	0.1522549517
691	0.1522496321
692	0.1522340679
693	0.1522312885
694	0.152230854
695	0.1522192355
696	0.1522077174
697	0.1521938684
698	0.1521861896
699	0.1521723497
700	0.1521627769
701	0.1521527772
702	0.1521362981
703	0.1521258712
704	0.1521187127
705	0.1521114767
706	0.1521110482
707	0.1520961665
708	0.1520887986
709	0.1520779306
710	0.1520653786
711	0.1520606154
712	0.1520507498
713	0.1520507452
714	0.1520441418
715	0.1520330616
716	0.1520200778
717	0.1520139861
718	0.1519962363
719	0.1519896364
720	0.1519775228
721	0.1519635522
722	0.1519497617
723	0.1519446522
724	0.1519412522
725	0.151927493
726	0.1519216323
727	0.1519180063
728	0.151910358
729	0.1519001793
730	0.151885985
731	0.1518757575
732	0.1518626682
733	0.1518552421
734	0.1518484546
735	0.1518439962
736	0.1518349491
737	0.1518258242
738	0.1518193837
739	0.1518070512
740	0.1517984034
741	0.1517918546
742	0.1517824305
743	0.1517733103
744	0.1517586831
745	0.151752811
746	0.1517464231
747	0.1517429233
748	0.1517426006
749	0.1517298683
750	0.1517228075
751	0.1517111427
752	0.1516955403
753	0.1516900057
754	0.1516778576
755	0.1516687929
756	0.1516632217
757	0.1516497238
758	0.1516429725
759	0.1516293234
760	0.1516183244
761	0.1516085084
762	0.1515998363
763	0.1515877664
764	0.1515827237
765	0.1515714299
766	0.1515703024
767	0.1515596526
768	0.1515470641
769	0.151539954
770	0.1515329718
771	0.1515273847
772	0.1515168783
773	0.1515065849
774	0.1514939986
775	0.1514860991
776	0.1514750139
777	0.1514635004
778	0.1514524801
779	0.1514405792
780	0.1514324987
781	0.1514324547
782	0.1514243808
783	0.1514160613
784	0.1514079236
785	0.1513950465
786	0.1513894039
787	0.1513776761
788	0.1513743792
789	0.1513649796
790	0.1513539925
791	0.1513465805
792	0.1513411532
793	0.1513300796
794	0.1513259826
795	0.1513151261
796	0.1513071408
797	0.1512943608
798	0.1512894028
799	0.1512768689
800	0.1512676757
801	0.151261826
802	0.1512479167
803	0.1512443305
804	0.151240237
805	0.1512371591
806	0.1512295913
807	0.1512184195
808	0.1512131796
809	0.1512107542
810	0.1512025983
811	0.1511931879
812	0.1511767271
813	0.1511671864
814	0.1511550443
815	0.1511516114
816	0.1511384489
817	0.151130869
818	0.1511203032
819	0.1511108274
820	0.15110208
821	0.1510991695
822	0.1510875275
823	0.1510742262
824	0.1510686404
825	0.1510589209
826	0.1510522343
827	0.151038538
828	0.1510293798
829	0.1510201449
830	0.1510084265
831	0.1509915223
832	0.1509852979
833	0.1509730689
834	0.1509691228
835	0.1509600393
836	0.1509493232
837	0.1509454107
838	0.1509411277
839	0.1509323374
840	0.1509249763
841	0.1509162503
842	0.1509097195
843	0.1509034826
844	0.1508967428
845	0.1508924022
846	0.1508800354
847	0.1508778338
848	0.1508674938
849	0.1508510752
850	0.1508411321
851	0.1508282005
852	0.1508255193
853	0.1508108585
854	0.1508053202
855	0.1507959573
856	0.1507839642
857	0.1507788857
858	0.1507674708
859	0.1507584187
860	0.1507468638
861	0.1507358779
862	0.1507180612
863	0.1507103139
864	0.1507063386
865	0.1506991731
866	0.1506942798
867	0.1506872674
868	0.1506758629
869	0.1506708133
870	0.1506661923
871	0.1506593008
872	0.1506534606
873	0.1506483692
874	0.1506435994
875	0.1506343372
876	0.1506262915
877	0.1506173901
878	0.1506111384
879	0.1506052567
880	0.1505943615
881	0.1505825866
882	0.1505776593
883	0.150568435
884	0.1505573527
885	0.150557324
886	0.1505523072
887	0.1505471382
888	0.150544054
889	0.150539565
890	0.1505288686
891	0.1505125495
892	0.1505025556
893	0.1504988092
894	0.1504913856
895	0.1504856893
896	0.1504804878
897	0.1504692297
898	0.1504663496
899	0.1504626027
900	0.1504597654
901	0.1504491295
902	0.1504436826
903	0.1504323883
904	0.1504282558
905	0.1504274068
906	0.1504182268
907	0.1504137998
908	0.150403959
909	0.1503955018
910	0.1503899761
911	0.1503899687
912	0.1503824252
913	0.1503776895
914	0.1503658007
915	0.1503606606
916	0.1503551058
917	0.1503465388
918	0.1503351919
919	0.1503208527
920	0.1503098017
921	0.1503010187
922	0.1502945067
923	0.150283013
924	0.1502732096
925	0.1502641394
926	0.1502538697
927	0.1502391287
928	0.1502286263
929	0.1502154555
930	0.1502134597
931	0.1502093153
932	0.1502048457
933	0.1501983191
934	0.1501857606
935	0.1501829795
936	0.1501782908
937	0.1501735149
938	0.1501627177
939	0.1501563317
940	0.1501499421
941	0.1501325145
942	0.1501235278
943	0.1501173817
944	0.1501142408
945	0.1501040628
946	0.1501012886
947	0.1500963588
948	0.1500922229
949	0.1500859226
950	0.1500811462
951	0.150078352
952	0.1500782491
953	0.1500705179
954	0.1500616465
955	0.150055594
956	0.150051636
957	0.1500468046
958	0.1500322593
959	0.1500260864
960	0.1500184173
961	0.1500149748
962	0.1500049477
963	0.1499955821
964	0.149990043
965	0.1499845237
966	0.1499807856
967	0.1499691597
968	0.1499632073
969	0.1499546783
970	0.1499488798
971	0.1499424152
972	0.1499346542
973	0.1499271611
974	0.149918967
975	0.1499097195
976	0.149906195
